name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Festerhide Boar",4,"Creature - Boar",G,"inr","196",common,Green,Not Owned,,false,,,"","",135806
"Intrepid Provisioner",4,"Creature - Human Scout",G,"inr","205",common,Green,Not Owned,,false,,,"","",135828
"Magnigoth Sentry",4,"Creature - Treefolk",G,"fdn","556",common,Green,Not Owned,,false,,,"","",134884
"Pack Guardian",4,"Creature - Wolf Spirit",G,"inr","211",uncommon,Green,Not Owned,,false,,,"","",135842
"Wildheart Invoker",4,"Creature - Elf Shaman",G,"fdn","561",common,Green,Not Owned,,false,,,"","",134894
"Moldgraf Millipede",5,"Creature - Insect Horror",G,"inr","208",common,Green,Not Owned,,false,,,"","",135836
"Tajuru Pathwarden",5,"Creature - Elf Warrior Ally",G,"fdn","558",common,Green,Not Owned,,false,,,"","",134888
"Tireless Hauler",5,"Creature - Human Werewolf",G,"mid","203",common,Green,Not Owned,,false,,,"","",93398
"It of the Horrid Swarm",8,"Creature - Eldrazi Insect",,"inr","331",common,Green,Not Owned,,false,,,"","",134948
"It of the Horrid Swarm",8,"Creature - Eldrazi Insect",,"inr","331",common,Green,Not Owned,,false,,,"","",134948
"Giant Growth",1,"Instant",G,"fdn","223",common,Green,Not Owned,,false,,,"","",133472
"Snakeskin Veil",1,"Instant",G,"fdn","233",uncommon,Green,Not Owned,,false,,,"","",133492
"Bite Down",2,"Instant",G,"fdn","212",common,Green,Not Owned,,false,,,"","",133450
"Grapple with the Past",2,"Instant",G,"inr","199",common,Green,Not Owned,,false,,,"","",135814
"Grapple with the Past",2,"Instant",G,"inr","199",common,Green,Not Owned,,false,,,"","",135814
"Broken Wings",3,"Instant",G,"fdn","214",common,Green,Not Owned,,false,,,"","",133454
"Tapping at the Window",2,"Sorcery",G,"mid","201",common,Green,Not Owned,,false,,,"","",93394
"Felling Blow",3,"Sorcery",G,"fdn","105",uncommon,Green,Not Owned,,false,,,"","",133778
"Grow from the Ashes",3,"Sorcery",G,"fdn","225",common,Green,Not Owned,,false,,,"","",133476
"Shadowbeast Sighting",4,"Sorcery",G,"mid","198",common,Green,Not Owned,,false,,,"","",93388
"Biogenic Upgrade",6,"Sorcery",G,"fdn","553",uncommon,Green,Not Owned,,false,,,"","",134878
"Joraga Invocation",6,"Sorcery",G,"fdn","555",uncommon,Green,Not Owned,,false,,,"","",134882
"Abundant Growth",1,"Enchantment - Aura",G,"inr","406",common,Green,Not Owned,,false,,,"","",135098
"Abundant Growth",1,"Enchantment - Aura",G,"inr","406",common,Green,Not Owned,,false,,,"","",135098
"Garruk's Uprising",3,"Enchantment",G,"fdn","220",uncommon,Green,Not Owned,,false,,,"","",133466
"New Horizons",3,"Enchantment - Aura",G,"fdn","557",common,Green,Not Owned,,false,,,"","",134886
"Ulvenwald Mysteries",3,"Enchantment",G,"inr","423",uncommon,Green,Not Owned,,false,,,"","",135132
"Gleaming Barrier",2,"Artifact Creature - Wall",,"fdn","252",common,Colorless,Not Owned,,false,,,"","",133530
"Harvest Hand",3,"Artifact Creature - Scarecrow",,"inr","265",common,Colorless,Not Owned,,false,,,"","",135964
"Harvest Hand",3,"Artifact Creature - Scarecrow",,"inr","265",common,Colorless,Not Owned,,false,,,"","",135964
"Wild-Field Scarecrow",3,"Artifact Creature - Scarecrow",,"inr","274",common,Colorless,Not Owned,,false,,,"","",135986
"Geistcatcher's Rig",6,"Artifact Creature - Construct",,"inr","264",uncommon,Colorless,Not Owned,,false,,,"","",135962
"Fishing Pole",1,"Artifact - Equipment",,"fdn","128",uncommon,Colorless,Not Owned,,false,,,"","",133824
"Goblin Firebomb",1,"Artifact",,"fdn","562",common,Colorless,Not Owned,,false,,,"","",134896
"Traveler's Amulet",1,"Artifact",,"inr","273",common,Colorless,Not Owned,,false,,,"","",135984
"Traveler's Amulet",1,"Artifact",,"inr","273",common,Colorless,Not Owned,,false,,,"","",135984
"Traveler's Amulet",1,"Artifact",,"inr","273",common,Colorless,Not Owned,,false,,,"","",135984
"Traveler's Amulet",1,"Artifact",,"inr","273",common,Colorless,Not Owned,,false,,,"","",135984
"Cobbled Wings",2,"Artifact - Equipment",,"inr","258",common,Colorless,Not Owned,,false,,,"","",135948
"Quick-Draw Katana",2,"Artifact - Equipment",,"fdn","130",common,Colorless,Not Owned,,false,,,"","",133828
"Angel's Tomb",3,"Artifact",,"inr","438",uncommon,Colorless,Not Owned,,false,,,"","",135162
"Butcher's Cleaver",3,"Artifact - Equipment",,"inr","256",uncommon,Colorless,Not Owned,,false,,,"","",135942
"Pirate's Cutlass",3,"Artifact - Equipment",,"fdn","563",common,Colorless,Not Owned,,false,,,"","",134898
"Soul Separator",3,"Artifact",,"inr","446",uncommon,Colorless,Not Owned,,false,,,"","",135178
"Empyrean Eagle",3,"Creature - Bird Spirit",UW,"fdn","239",uncommon,Multicolored,Not Owned,,false,,,"","",133504
"Spectral Shepherd",3,"Creature - Spirit",W,"inr","349",uncommon,Multicolored,Not Owned,,false,,,"","",134984
"Drunau Corpse Trawler",4,"Creature - Zombie",U,"inr","63",uncommon,Multicolored,Not Owned,,false,,,"","",135504
"Bloodtithe Harvester",2,"Creature - Vampire",BR,"inr","427",uncommon,Multicolored,Not Owned,,false,,,"","",135140
"Perforating Artist",3,"Creature - Devil",BR,"fdn","124",uncommon,Multicolored,Not Owned,,false,,,"","",133816
"Perforating Artist",3,"Creature - Devil",BR,"fdn","124",uncommon,Multicolored,Not Owned,,false,,,"","",133816
"Wild Hunger",3,"Instant",G,"inr","424",uncommon,Multicolored,Not Owned,,false,,,"","",135134
"Travel Preparations",2,"Sorcery",G,"inr","220",uncommon,Multicolored,Not Owned,,false,,,"","",135864
"Travel Preparations",2,"Sorcery",G,"inr","220",uncommon,Multicolored,Not Owned,,false,,,"","",135864
"Grizzly Ghoul",4,"Creature - Zombie Bear",BG,"inr","240",uncommon,Multicolored,Not Owned,,false,,,"","",135908
"Grizzly Ghoul",4,"Creature - Zombie Bear",BG,"inr","240",uncommon,Multicolored,Not Owned,,false,,,"","",135908
"Spider Spawning",5,"Sorcery",G,"inr","419",uncommon,Multicolored,Not Owned,,false,,,"","",135124
"Markov Waltzer",4,"Creature - Vampire",RW,"inr","245",uncommon,Multicolored,Not Owned,,false,,,"","",135920
"Azorius Guildgate",0,"Land - Gate",UW,"rtr","237",common,Lands,Owned,Non-foil,false,,,"","",46379
"Azorius Guildgate",0,"Land - Gate",UW,"rtr","237",common,Lands,Owned,Non-foil,false,,,"","",46379
"Dimir Guildgate",0,"Land - Gate",BU,"gtc","241",common,Lands,Owned,Non-foil,false,,,"","",47451
"Dimir Guildgate",0,"Land - Gate",BU,"gtc","241",common,Lands,Owned,Non-foil,false,,,"","",47451
"Gruul Guildgate",0,"Land - Gate",GR,"gtc","243",common,Lands,Owned,Non-foil,false,,,"","",47455
"Gruul Guildgate",0,"Land - Gate",GR,"gtc","243",common,Lands,Owned,Non-foil,false,,,"","",47455
"Rugged Highlands",0,"Land",GR,"ktk","240",common,Lands,Owned,Non-foil,false,,,"","",54470
"Blossoming Sands",0,"Land",GW,"ktk","231",common,Lands,Owned,Non-foil,false,,,"","",54472
"Selesnya Guildgate",0,"Land - Gate",GW,"rtr","246",common,Lands,Owned,Non-foil,false,,,"","",46377
"Selesnya Guildgate",0,"Land - Gate",GW,"rtr","246",common,Lands,Owned,Non-foil,false,,,"","",46377
"Orzhov Guildgate",0,"Land - Gate",BW,"gtc","244",common,Lands,Owned,Non-foil,false,,,"","",47621
"Orzhov Guildgate",0,"Land - Gate",BW,"gtc","244",common,Lands,Owned,Non-foil,false,,,"","",47621
"Izzet Guildgate",0,"Land - Gate",RU,"rtr","242",common,Lands,Owned,Non-foil,false,,,"","",46809
"Izzet Guildgate",0,"Land - Gate",RU,"rtr","242",common,Lands,Owned,Non-foil,false,,,"","",46809
"Golgari Guildgate",0,"Land - Gate",BG,"rtr","239",common,Lands,Owned,Non-foil,false,,,"","",46383
"Golgari Guildgate",0,"Land - Gate",BG,"rtr","239",common,Lands,Owned,Non-foil,false,,,"","",46383
"Boros Guildgate",0,"Land - Gate",RW,"gtc","239",common,Lands,Owned,Non-foil,false,,,"","",47449
"Boros Guildgate",0,"Land - Gate",RW,"gtc","239",common,Lands,Owned,Non-foil,false,,,"","",47449
"Simic Guildgate",0,"Land - Gate",GU,"gtc","246",common,Lands,Owned,Non-foil,false,,,"","",47457
"Simic Guildgate",0,"Land - Gate",GU,"gtc","246",common,Lands,Owned,Non-foil,false,,,"","",47457
"Evolving Wilds",0,"Land",,"roe","228",common,Lands,Owned,Non-foil,false,,,"","",36440
"Gateway Plaza",0,"Land - Gate",,"grn","247",common,Lands,Owned,Non-foil,false,,,"","",69907
"Gateway Plaza",0,"Land - Gate",,"grn","247",common,Lands,Owned,Non-foil,false,,,"","",69907
"Polluted Mire",0,"Land",B,"usg","323",common,Lands,Owned,Non-foil,false,,,"","",11927
"Promising Vein",0,"Land - Cave",,"lci","279",common,Lands,Owned,Non-foil,false,,,"","",118406
"Remote Isle",0,"Land",U,"usg","324",common,Lands,Owned,Non-foil,false,,,"","",11889
"Uncharted Haven",0,"Land",,"neo","281",common,Lands,Owned,Non-foil,false,,,"","",97512
"Uncharted Haven",0,"Land",,"neo","281",common,Lands,Owned,Non-foil,false,,,"","",97512
"Uncharted Haven",0,"Land",,"neo","281",common,Lands,Owned,Non-foil,false,,,"","",97512
"Uncharted Haven",0,"Land",,"neo","281",common,Lands,Owned,Non-foil,false,,,"","",97512
"Unknown Shores",0,"Land",,"ths","229",common,Lands,Owned,Non-foil,false,,,"","",50398
"Unknown Shores",0,"Land",,"ths","229",common,Lands,Owned,Non-foil,false,,,"","",50398
"Unknown Shores",0,"Land",,"ths","229",common,Lands,Owned,Non-foil,false,,,"","",50398
